tree_id,species_de,botanical_name
60/581,Scharlach-Kirsche,Prunus sargentii
50/606x,Echte Ornaes-Birke,Betula pendula 'Crispa'
50/535x,Himalaya-Birke,Betula utilis
002/1x,Ahornblättrige Platane,Platanus acerifolia
60/526,Resista Ulme 'New Horizon',Ulmus Resista (R) 'New Horizon'
50/560,Flatter-Ulme,Ulmus laevis
80/031,Schmalblättrige Esche,Fraxinus angustifolia 'Raywood'
60/588,Gelbe Pavie 'Vestita',Aesculus flava 'Vestita'
60/600,Resista Ulme 'New Horizon',Ulmus Resista (R) 'New Horizon'
60/134,Mongolische Linde,Tilia mongolica
80/025,Purpur-Erle,Alnus spaethii
50/556,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus
60/096,Stiel-Eiche 'Pendula',Quercus robur 'Pendula'
60/443,"Hänge-Weide, Trauer-Weide",Salix alba 'Tristis'
60/146,Spitz-Ahorn,Acer platanoides
60/382,Winter-Linde,Tilia cordata
50/475,Echte Blutbuche,Fagus sylvatica 'Purpurea Latifolia'
50/124,Schwarznuss,Juglans nigra
80/055,Gewöhnlicher Judasbaum,Cercis siliquastrum
50/563,Trauben-Eiche,Quercus petraea
60/628,Dreidorniger Lederhülsenbaum,Gleditsia triacanthos
60/447,Winter-Linde,Tilia cordata
62/007,Ungarische Eiche,Quercus frainetto
62/001,Silber-Linde,Tilia tomentosa
62/026,Trauben-Eiche,Quercus petraea
64/006,Himalaya-Birke,Betula utilis
62/022,Weiden-Eiche,Quercus phellos
64/007x,Himalaya-Birke,Betula utilis
